INFO 2025-10-01 22:01:38,379 google_sheets ✓ Google Sheets API connected
ERROR 2025-10-01 22:01:47,750 google_sheets ✗ Failed to extract data from FINAL STATUS!A:G: <HttpError 400 when requesting https://sheets.googleapis.com/v4/spreadsheets/12Tl-Plep7xBJqpC9iuSe1lncWJzxb6J8gKkI-NAjfUY/values/FINAL%20STATUS%21A%3AG?alt=json returned "Unable to parse range: FINAL STATUS!A:G". Details: "Unable to parse range: FINAL STATUS!A:G">
INFO 2025-10-01 22:02:21,322 views Starting migration in FAST mode for user flamefusion
INFO 2025-10-01 22:02:21,424 google_sheets ✓ Google Sheets API connected
INFO 2025-10-01 22:02:21,444 migration_service 🚀 [FAST] Starting migration: FINAL STATUS!A:G → vendor_data
INFO 2025-10-01 22:02:21,445 migration_service 📥 Loading data from FINAL STATUS!A:G...
INFO 2025-10-01 22:02:21,454 migration_service 🚀 [FAST] Starting migration: Sheet1!A:I → charging_station_data
INFO 2025-10-01 22:02:21,459 migration_service 🚀 [FAST] Starting migration: 3DE TECH!A:M → vqc_data
INFO 2025-10-01 22:02:21,460 migration_service 🚀 [FAST] Starting migration: Sheet1!A:O → ft_data
INFO 2025-10-01 22:02:21,460 migration_service 📥 Loading data from Sheet1!A:I...
INFO 2025-10-01 22:02:21,460 migration_service 🚀 [FAST] Starting migration: IHC!A:M → vqc_data
INFO 2025-10-01 22:02:21,460 migration_service 🚀 [FAST] Starting migration: MAKENICA!A:M → vqc_data
INFO 2025-10-01 22:02:21,476 migration_service 📥 Loading data from 3DE TECH!A:M...
INFO 2025-10-01 22:02:21,491 migration_service 📥 Loading data from Sheet1!A:O...
INFO 2025-10-01 22:02:21,531 migration_service 📥 Loading data from IHC!A:M...
INFO 2025-10-01 22:02:21,559 migration_service 📥 Loading data from MAKENICA!A:M...
ERROR 2025-10-01 22:02:24,992 google_sheets ✗ Failed to extract data from Sheet1!A:I: <HttpError 400 when requesting https://sheets.googleapis.com/v4/spreadsheets/1Hl3Vt4rDarzZPpxgNwlU62etIKygt70zntrVeighRGw/values/Sheet1%21A%3AI?alt=json returned "Unable to parse range: Sheet1!A:I". Details: "Unable to parse range: Sheet1!A:I">
ERROR 2025-10-01 22:02:24,999 migration_service ❌ [FAST] Failed: Sheet1!A:I - No data found in sheet
ERROR 2025-10-01 22:02:24,999 migration_service ✗ Migration failed for Sheet1!A:I: No data found in sheet
INFO 2025-10-01 22:26:24,583 google_sheets ✓ Google Sheets API connected
ERROR 2025-10-01 22:26:32,586 google_sheets ✗ Failed to extract data from FINAL STATUS!A:G: <HttpError 400 when requesting https://sheets.googleapis.com/v4/spreadsheets/12Tl-Plep7xBJqpC9iuSe1lncWJzxb6J8gKkI-NAjfUY/values/FINAL%20STATUS%21A%3AG?alt=json returned "Unable to parse range: FINAL STATUS!A:G". Details: "Unable to parse range: FINAL STATUS!A:G">
INFO 2025-10-01 22:26:53,081 views Starting migration in FAST mode for user flamefusion
INFO 2025-10-01 22:26:53,147 google_sheets ✓ Google Sheets API connected
INFO 2025-10-01 22:26:53,160 migration_service 🚀 [FAST] Starting migration: FINAL STATUS!A:G → vendor_data
INFO 2025-10-01 22:26:53,160 migration_service 📥 Loading data from FINAL STATUS!A:G...
INFO 2025-10-01 22:26:53,169 migration_service 🚀 [FAST] Starting migration: 3DE TECH!A:M → vqc_data
INFO 2025-10-01 22:26:53,169 migration_service 🚀 [FAST] Starting migration: Sheet1!A:I → charging_station_data
INFO 2025-10-01 22:26:53,169 migration_service 🚀 [FAST] Starting migration: Sheet1!A:O → ft_data
INFO 2025-10-01 22:26:53,169 migration_service 🚀 [FAST] Starting migration: IHC!A:M → vqc_data
INFO 2025-10-01 22:26:53,180 migration_service 🚀 [FAST] Starting migration: MAKENICA!A:M → vqc_data
INFO 2025-10-01 22:26:53,195 migration_service 📥 Loading data from 3DE TECH!A:M...
INFO 2025-10-01 22:26:53,211 migration_service 📥 Loading data from Sheet1!A:I...
